Date : 2023-08-04 10:49:14
Directory : g:\Projects\C_CPP\Clion\NGS\include\NGS
Total : 285 files,  11887 codes, 957 comments, 2961 blanks, all 15805 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| embedded\bus\spi                                                               |          1 |         19 |          0 |          9 |         28 |
| embedded\bus\uart                                                              |          1 |         19 |          0 |         10 |         29 |
| embedded\bus\usb                                                               |          1 |         11 |          0 |          9 |         20 |
| embedded\io                                                                    |          3 |         72 |          0 |         31 |        103 |
| esp                                                                            |         10 |        680 |          9 |        153 |        842 |
| esp (Files)                                                                    |          5 |        187 |          0 |         19 |        206 |
| esp\bus                                                                        |          1 |        187 |          7 |         44 |        238 |
| esp\bus\i2c                                                                    |          1 |        187 |          7 |         44 |        238 |
| esp\io                                                                         |          4 |        306 |          2 |         90 |        398 |
| extend                                                                         |         27 |      1,731 |        153 |        374 |      2,258 |
| extend (Files)                                                                 |         20 |      1,303 |        145 |        270 |      1,718 |
| extend\color                                                                   |          7 |        428 |          8 |        104 |        540 |
| graphic                                                                        |          6 |         90 |          3 |         39 |        132 |
| graphic (Files)                                                                |          1 |          6 |          0 |          2 |          8 |
| graphic\api                                                                    |          5 |         84 |          3 |         37 |        124 |
| math                                                                           |         14 |      1,138 |        106 |        216 |      1,460 |
| mla                                                                            |         43 |        519 |         69 |        207 |        795 |
| mla (Files)                                                                    |          4 |         22 |          0 |         12 |         34 |
| mla\base                                                                       |          4 |         62 |          9 |         29 |        100 |
| mla\matrix                                                                     |          4 |         49 |          0 |         24 |         73 |
| mla\scalar                                                                     |         18 |        152 |         16 |         60 |        228 |
| mla\scalar (Files)                                                             |          3 |         22 |          0 |         10 |         32 |
| mla\scalar\binary                                                              |         13 |         95 |          9 |         37 |        141 |
| mla\scalar\binary (Files)                                                      |          6 |         88 |          9 |         30 |        127 |
| mla\scalar\binary\assign                                                       |          7 |          7 |          0 |          7 |         14 |
| mla\scalar\unary                                                               |          2 |         35 |          7 |         13 |         55 |
| mla\vector                                                                     |         13 |        234 |         44 |         82 |        360 |
| mla\vector (Files)                                                             |          5 |         91 |         23 |         27 |        141 |
| mla\vector\binary                                                              |          4 |         74 |         11 |         27 |        112 |
| mla\vector\unary                                                               |          4 |         69 |         10 |         28 |        107 |
| nda                                                                            |         19 |        293 |          2 |        120 |        415 |
| nda (Files)                                                                    |          4 |         33 |          0 |         19 |         52 |
| nda\display                                                                    |          7 |        207 |          2 |         68 |        277 |
| nda\display (Files)                                                            |          3 |         78 |          0 |         27 |        105 |
| nda\display\bitmap                                                             |          4 |        129 |          2 |         41 |        172 |
| nda\enum                                                                       |          1 |         21 |          0 |          5 |         26 |
| nda\impl                                                                       |          5 |         21 |          0 |         22 |         43 |
| nda\impl (Files)                                                               |          1 |          1 |          0 |          1 |          2 |
| nda\impl\opengl                                                                |          4 |         20 |          0 |         21 |         41 |
| nda\interfaces                                                                 |          2 |         11 |          0 |          6 |         17 |
| ngl                                                                            |         45 |      2,152 |        131 |        470 |      2,753 |
| ngl (Files)                                                                    |          9 |        674 |         10 |         87 |        771 |
| ngl2                                                                           |         27 |      1,455 |         42 |        327 |      1,824 |
| ngl2 (Files)                                                                   |          7 |        452 |          9 |         80 |        541 |
| ngl2\api                                                                       |          6 |        393 |          3 |         91 |        487 |
| ngl2\fw                                                                        |          1 |         92 |          1 |         19 |        112 |
| ngl2\gl                                                                        |         13 |        518 |         29 |        137 |        684 |
| ngl\base                                                                       |          8 |        215 |         21 |         69 |        305 |
| ngl\shader                                                                     |          3 |        155 |          1 |         28 |        184 |
| ngl\texture                                                                    |          3 |        143 |          0 |         42 |        185 |
| ngl\utils                                                                      |          2 |        106 |          0 |         31 |        137 |
| ngl\vertex                                                                     |         20 |        859 |         99 |        213 |      1,171 |
| ngl\vertex (Files)                                                             |          9 |        334 |         81 |        100 |        515 |
| ngl\vertex\array                                                               |          6 |        422 |         18 |         71 |        511 |
| ngl\vertex\ctrl                                                                |          4 |         87 |          0 |         35 |        122 |
| ngl\vertex\interface                                                           |          1 |         16 |          0 |          7 |         23 |
| nsl                                                                            |         16 |      1,156 |         15 |        273 |      1,444 |
| nsl (Files)                                                                    |          5 |        268 |          0 |         27 |        295 |
| nsl\bus                                                                        |          1 |        117 |          1 |         38 |        156 |
| nsl\bus\i2c                                                                    |          1 |        117 |          1 |         38 |        156 |
| nsl\file                                                                       |          3 |        137 |          1 |         43 |        181 |
| nsl\io                                                                         |          3 |        225 |          3 |         51 |        279 |
| nsl\media                                                                      |          4 |        409 |         10 |        114 |        533 |
| nsw                                                                            |          6 |        125 |          0 |         45 |        170 |
| nsw (Files)                                                                    |          4 |         21 |          0 |         13 |         34 |
| nsw\bus                                                                        |          2 |        104 |          0 |         32 |        136 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                       | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.h                                  | C++      |         30 |         39 |         15 |         84 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.hpp                                | C++      |         22 |          0 |          9 |         31 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\NGS.vcxproj                            | XML      |        390 |          0 |          0 |        390 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\PID.h                        | C++      |         55 |         84 |         13 |        152 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\PID.hpp                      | C++      |        165 |         38 |         52 |        255 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\algorithm.h                  | C++      |          6 |          0 |          3 |          9 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\algorithm.hpp                | C++      |          3 |          0 |          3 |          6 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\algorithm\dynamic_program.h            | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\STL.h                             | C++      |         52 |         17 |         18 |         87 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\assert.h                          | C++      |         57 |          1 |         12 |         70 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\base.h                            | C++      |         18 |         13 |         10 |         41 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\base.hpp                          | C++      |          2 |          0 |          1 |          3 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\base_class.h                      | C++      |         26 |          7 |          7 |         40 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\bit.h                             | C++      |        134 |         10 |         43 |        187 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\boost.h                     | C++      |          3 |          0 |          2 |          5 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\mpl.h                       | C++      |         20 |          0 |         10 |         30 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\boost\property_tree.h             | C++      |          3 |          0 |          2 |          5 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\concepts.h                        | C++      |         44 |          1 |         20 |         65 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\config.h                          | C++      |         25 |          7 |         12 |         44 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\defined.h                         | C++      |        130 |         26 |         49 |        205 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\log.h                             | C++      |        190 |          3 |         25 |        218 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\memory_reinterpreter.h            | C++      |         29 |          0 |         10 |         39 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\bitmap.h                      | C++      |         45 |          0 |          9 |         54 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\algorithm.h          | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\concept.h            | C++      |          7 |          0 |          1 |          8 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\data_type.h          | C++      |         20 |          2 |          6 |         28 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\iterator.h           | C++      |         25 |          7 |          9 |         41 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\meta_function.h      | C++      |         31 |          2 |         11 |         44 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\same.h               | C++      |         13 |          0 |          8 |         21 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\concepts\sequence.h           | C++      |         28 |          1 |          7 |         36 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\defined.h                     | C++      |          1 |          0 |          0 |          1 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\find.h                        | C++      |         35 |         19 |         15 |         69 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\function.h                    | C++      |         32 |         32 |         12 |         76 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\mpl.h                         | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\mpl_macro.h                   | C++      |         21 |          3 |          9 |         33 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\promote_type.h                | C++      |          9 |          0 |          4 |         13 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\sequence\at.h                 | C++      |          6 |          0 |          6 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\sequence\sequence.h           | C++      |         16 |          0 |          6 |         22 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\spread.h               | C++      |         35 |          7 |          9 |         51 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\struct.h               | C++      |         78 |         12 |         26 |        116 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\var.h                  | C++      |         38 |          0 |         10 |         48 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\struct\vars.h                 | C++      |         13 |          0 |          6 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\template_extraction.h         | C++      |         35 |          7 |         13 |         55 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\mpl\utility.h                     | C++      |         18 |          0 |          4 |         22 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\space_transform.h                 | C++      |          7 |          0 |          6 |         13 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\template_mate.h                   | C++      |         25 |          0 |          4 |         29 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\type_info.h                       | C++      |        115 |          5 |         19 |        139 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\type_trait.h                      | C++      |          7 |          0 |          8 |         15 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\utility.h                         | C++      |         23 |          0 |          8 |         31 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\base\version.h                         | C++      |         87 |         10 |         35 |        132 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\any.h                         | C++      |          6 |          0 |          5 |         11 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\concepts.h                    | C++      |          5 |          0 |          2 |          7 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\constant.h                    | C++      |          9 |          0 |          5 |         14 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\defined.h                     | C++      |          6 |          0 |          4 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\derived.h                     | C++      |          6 |          3 |          6 |         15 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\fundamental.h                 | C++      |          4 |          0 |          2 |          6 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\fundamental\floating.h        | C++      |          6 |          0 |          5 |         11 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\fundamental\int.h             | C++      |          6 |          0 |          5 |         11 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\concepts\fundamental\uint.h            | C++      |          6 |          0 |          5 |         11 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\Interface.h                   | C++      |         15 |          0 |          9 |         24 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\bus.h                     | C++      |          7 |          0 |          2 |          9 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\bus_base.h                | C++      |         34 |          0 |         16 |         50 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\i2c\I2C.h                 | C++      |        100 |         71 |         23 |        194 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\serial_port\serial_port.h | C++      |         19 |          0 |         10 |         29 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\spi\SPI.h                 | C++      |         19 |          0 |          9 |         28 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\uart\UART.h               | C++      |         19 |          0 |         10 |         29 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\bus\usb\UVC.h                 | C++      |         11 |          0 |          9 |         20 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\embedded.h                    | C++      |          6 |          0 |          4 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\embedded.hpp                  | C++      |          2 |          0 |          1 |          3 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\io\GPIO.h                     | C++      |         46 |          0 |         14 |         60 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\io\IO.h                       | C++      |         11 |          0 |          9 |         20 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\embedded\io\PWM.h                      | C++      |         15 |          0 |          8 |         23 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\ESP.h                              | C++      |          4 |          0 |          4 |          8 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\ESP.hpp                            | C++      |          6 |          0 |          4 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\bus\i2c\I2C.hpp                    | C++      |        187 |          7 |         44 |        238 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\defined.h                          | C++      |          7 |          0 |          7 |         14 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\esp.vcxproj                        | XML      |        159 |          0 |          0 |        159 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\esp_idf.h                          | C++      |         11 |          0 |          4 |         15 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\io\GPIO.hpp                        | C++      |         87 |          0 |         25 |        112 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\io\PCNT.h                          | C++      |         24 |          0 |         12 |         36 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\io\PCNT.hpp                        | C++      |        117 |          2 |         28 |        147 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\esp\io\PWM.hpp                         | C++      |         78 |          0 |         25 |        103 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\byte_array.h                    | C++      |         69 |          0 |         10 |         79 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\color\channel.h                 | C++      |         66 |          4 |         15 |         85 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\color\color.h                   | C++      |          6 |          0 |          3 |          9 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\color\color_old.h               | C++      |        141 |          0 |         30 |        171 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\color\concept.h                 | C++      |         10 |          0 |          5 |         15 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\color\defined.h                 | C++      |         20 |          0 |         11 |         31 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\color\hsv.h                     | C++      |         29 |          3 |         11 |         43 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\color\primary_color.h           | C++      |        156 |          1 |         29 |        186 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\command_queue.h                 | C++      |         18 |          0 |          8 |         26 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\console.h                       | C++      |         12 |          0 |          9 |         21 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\console.hpp                     | C++      |        191 |          0 |         27 |        218 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\debug.h                         | C++      |         44 |          0 |         10 |         54 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\event.h                         | C++      |        130 |         67 |         22 |        219 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\extend.h                        | C++      |         22 |          8 |          5 |         35 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\extend.hpp                      | C++      |          3 |          0 |          3 |          6 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\factory.h                       | C++      |         32 |          0 |          9 |         41 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\file.h                          | C++      |         64 |          0 |          7 |         71 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\function.h                      | C++      |          8 |          0 |          4 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\memory.h                        | C++      |        195 |         10 |         37 |        242 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\movie.h                         | C++      |         87 |          5 |         16 |        108 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\parser.h                        | C++      |        145 |         46 |         20 |        211 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\selector.h                      | C++      |          4 |          0 |          6 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\setting.h                       | C++      |         39 |          2 |         16 |         57 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\stream.h                        | C++      |        109 |          6 |         21 |        136 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\timer.h                         | C++      |         65 |          1 |         12 |         78 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\tree.h                          | C++      |         58 |          0 |         23 |         81 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\extend\user_data.h                     | C++      |          8 |          0 |          5 |         13 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\graphic\api\graphic.h                  | C++      |          4 |          0 |          6 |         10 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\graphic\api\image.h                    | C++      |         31 |          2 |          9 |         42 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\graphic\api\renderer.h                 | C++      |         11 |          0 |         10 |         21 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\graphic\api\texture.h                  | C++      |         12 |          1 |          5 |         18 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\graphic\api\window.h                   | C++      |         26 |          0 |          7 |         33 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\graphic\graph.h                        | C++      |          6 |          0 |          2 |          8 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\BTL.h                             | C++      |          6 |          0 |          5 |         11 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\defined.h                         | C++      |          4 |          0 |          3 |          7 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\line.h                            | C++      |         28 |          0 |          9 |         37 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\math.h                            | C++      |          9 |          0 |          3 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\math.hpp                          | C++      |          2 |          0 |          1 |          3 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\matrix.h                          | C++      |        247 |         11 |         27 |        285 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\matrix_exp.h                      | C++      |         40 |          0 |         12 |         52 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\rectangle.h                       | C++      |         97 |          0 |         17 |        114 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\rotation.h                        | C++      |         26 |          3 |         11 |         40 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\transform.h                       | C++      |         23 |          0 |          7 |         30 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\util.h                            | C++      |         75 |         34 |         19 |        128 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\vector.h                          | C++      |        308 |         20 |         40 |        368 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\vector_exp.h                      | C++      |         32 |          0 |         15 |         47 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\math\vector_post.h                     | C++      |        241 |         38 |         47 |        326 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\base\concepts.h                    | C++      |          4 |          0 |          5 |          9 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\base\expression.h                  | C++      |         28 |          9 |         11 |         48 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\base\tag.h                         | C++      |          7 |          0 |          5 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\base\traits.h                      | C++      |         23 |          0 |          8 |         31 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\defined.h                          | C++      |         10 |          0 |          8 |         18 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\matrix\concepts.h                  | C++      |         17 |          0 |          8 |         25 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\matrix\container.h                 | C++      |         11 |          0 |          6 |         17 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\matrix\expression.h                | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\matrix\tag.h                       | C++      |          7 |          0 |          5 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\mla.h                              | C++      |          3 |          0 |          2 |          5 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar.h                           | C++      |          3 |          0 |          1 |          4 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary.h                    | C++      |          6 |          0 |          2 |          8 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign.h             | C++      |          7 |          0 |          2 |          9 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\assign.h      | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\divides.h     | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\functor.h     | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\minus.h       | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\multiplies.h  | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\plus.h        | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\assign\swap.h        | C++      |          1 |          0 |          1 |          2 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\divides.h            | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\functor.h            | C++      |         25 |          9 |          8 |         42 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\minus.h              | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\multiplies.h         | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\binary\plus.h               | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\traits.h                    | C++      |         13 |          0 |          6 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\unary.h                     | C++      |          3 |          0 |          2 |          5 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\unary\functor.h             | C++      |         21 |          7 |          8 |         36 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\scalar\unary\negate.h              | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector.h                           | C++      |          6 |          0 |          1 |          7 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary.h                    | C++      |          5 |          0 |          1 |          6 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary\binary.h             | C++      |         28 |          1 |          9 |         38 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary\functor.h            | C++      |         23 |         10 |          8 |         41 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary\plus.h               | C++      |          9 |          0 |          5 |         14 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\binary\traits.h             | C++      |         14 |          0 |          5 |         19 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\expression.h                | C++      |         23 |         10 |          6 |         39 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\tag.h                       | C++      |          7 |          0 |          5 |         12 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary.h                     | C++      |          5 |          0 |          2 |          7 |
| g:\Projects\C_CPP\Clion\NGS\include\NGS\mla\vector\unary\functor.h             | C++      |         22 |          9 |          7 |         38 |
